"","BIOSAMPLE_ACCESSION","EXPSAMPLE_ACCESSION"
"1","BS1040916","ES1276792"
"2","BS1040917","ES1276793"
"3","BS1040918","ES1276794"
"4","BS1040919","ES1276795"
"5","BS1040920","ES1276796"
"6","BS1040921","ES1276797"
"7","BS1040922","ES1276798"
"8","BS1040923","ES1276799"
"9","BS1040924","ES1276800"
"10","BS1040925","ES1276801"
"11","BS1040926","ES1276802"
"12","BS1040927","ES1276803"
"13","BS1040928","ES1276804"
"14","BS1040929","ES1276805"
"15","BS1040930","ES1276806"
"16","BS1040931","ES1276807"
"17","BS1040932","ES1276808"
"18","BS1040933","ES1276809"
"19","BS1040934","ES1276810"
"20","BS1040935","ES1276811"
"21","BS1040936","ES1276812"
"22","BS1040937","ES1276813"
"23","BS1040938","ES1276814"
"24","BS1040939","ES1276815"
"25","BS1040940","ES1276816"
"26","BS1040941","ES1276817"
"27","BS1040942","ES1276818"
"28","BS584942","ES492796"
"29","BS584943","ES492797"
"30","BS584944","ES492798"
"31","BS584945","ES492799"
"32","BS584946","ES492800"
"33","BS584947","ES492801"
"34","BS584948","ES492802"
"35","BS584949","ES492803"
"36","BS584950","ES492804"
"37","BS584951","ES492805"
"38","BS584952","ES492806"
"39","BS584953","ES492807"
"40","BS584954","ES492808"
"41","BS584955","ES492809"
"42","BS584956","ES492810"
"43","BS584957","ES492811"
"44","BS584958","ES492812"
"45","BS584959","ES492813"
"46","BS584960","ES492814"
"47","BS584961","ES492815"
"48","BS584962","ES492816"
"49","BS584963","ES492817"
"50","BS584964","ES492818"
"51","BS584965","ES492819"
"52","BS584966","ES492820"
"53","BS584967","ES492821"
"54","BS584968","ES492822"
"55","BS584969","ES492823"
"56","BS584970","ES492824"
"57","BS584971","ES492825"
"58","BS584972","ES492826"
"59","BS584973","ES492827"
"60","BS584974","ES492828"
"61","BS584975","ES492829"
"62","BS584976","ES492830"
"63","BS584977","ES492831"
"64","BS584978","ES492832"
"65","BS584980","ES492833"
"66","BS584981","ES492834"
"67","BS584982","ES492835"
"68","BS584983","ES492836"
"69","BS584984","ES492837"
"70","BS584985","ES492838"
"71","BS584986","ES492839"
"72","BS584987","ES492840"
"73","BS584988","ES492841"
"74","BS584989","ES492842"
"75","BS584990","ES492843"
"76","BS584991","ES492844"
"77","BS584992","ES492845"
"78","BS584993","ES492846"
"79","BS584994","ES492847"
"80","BS584995","ES492848"
"81","BS584996","ES492849"
"82","BS584997","ES492850"
"83","BS584998","ES492851"
"84","BS584999","ES492852"
"85","BS585000","ES492853"
"86","BS585001","ES492854"
"87","BS585002","ES492855"
"88","BS585003","ES492856"
"89","BS585004","ES492857"
"90","BS585005","ES492858"
"91","BS585006","ES492859"
"92","BS585007","ES492860"
"93","BS585008","ES492861"
"94","BS585009","ES492862"
"95","BS585010","ES492863"
"96","BS585011","ES492864"
"97","BS585012","ES492865"
"98","BS585013","ES492866"
"99","BS585014","ES492867"
"100","BS585015","ES492868"
"101","BS585016","ES492869"
"102","BS585017","ES492870"
"103","BS585018","ES492871"
"104","BS585019","ES492872"
"105","BS585020","ES492873"
"106","BS585021","ES492874"
"107","BS585022","ES492875"
"108","BS585023","ES492876"
"109","BS585024","ES492877"
"110","BS585025","ES492878"
"111","BS585026","ES492879"
"112","BS585027","ES492880"
"113","BS585028","ES492881"
"114","BS585029","ES492882"
"115","BS585030","ES492883"
"116","BS585031","ES492884"
"117","BS585032","ES492885"
"118","BS585033","ES492886"
"119","BS585034","ES492887"
"120","BS585035","ES492888"
"121","BS585036","ES492889"
"122","BS585037","ES492890"
"123","BS585038","ES492891"
"124","BS585039","ES492892"
"125","BS585040","ES492893"
"126","BS585041","ES492894"
"127","BS585042","ES492895"
"128","BS585043","ES492896"
"129","BS585044","ES492897"
"130","BS585045","ES492898"
"131","BS585046","ES492899"
"132","BS585047","ES492900"
"133","BS585048","ES492901"
"134","BS585049","ES492902"
"135","BS585050","ES492903"
"136","BS585051","ES492904"
"137","BS585052","ES492905"
"138","BS585053","ES492906"
"139","BS585054","ES492907"
"140","BS585055","ES492908"
"141","BS585056","ES492909"
"142","BS585057","ES492910"
"143","BS585058","ES492911"
"144","BS585059","ES492912"
"145","BS585060","ES492913"
"146","BS585061","ES492914"
"147","BS585062","ES492915"
"148","BS585063","ES492916"
"149","BS585064","ES492917"
"150","BS585065","ES492918"
"151","BS585066","ES492919"
"152","BS585067","ES492920"
"153","BS585068","ES492921"
"154","BS585069","ES492922"
"155","BS585070","ES492923"
"156","BS585071","ES492924"
"157","BS585072","ES492925"
"158","BS585073","ES492926"
"159","BS585074","ES492927"
"160","BS585075","ES492928"
"161","BS585076","ES492929"
"162","BS585077","ES492930"
"163","BS585078","ES492931"
"164","BS585079","ES492932"
"165","BS585080","ES492933"
"166","BS585081","ES492934"
"167","BS585082","ES492935"
"168","BS585083","ES492936"
"169","BS585084","ES492937"
"170","BS585085","ES492938"
"171","BS585086","ES492939"
"172","BS585087","ES492940"
"173","BS585088","ES492941"
"174","BS585089","ES492942"
"175","BS585090","ES492943"
"176","BS585091","ES492944"
"177","BS585092","ES492945"
"178","BS585093","ES492946"
"179","BS585094","ES492947"
"180","BS585095","ES492948"
"181","BS585096","ES492949"
"182","BS585097","ES492950"
"183","BS585098","ES492951"
"184","BS585099","ES492952"
"185","BS585100","ES492953"
"186","BS585101","ES492954"
"187","BS585102","ES492955"
"188","BS585103","ES492956"
"189","BS584918","ES492957"
"190","BS584919","ES492958"
"191","BS584920","ES492959"
"192","BS584921","ES492960"
"193","BS584922","ES492961"
"194","BS584923","ES492962"
"195","BS584924","ES492963"
"196","BS584925","ES492964"
"197","BS584926","ES492965"
"198","BS584927","ES492966"
"199","BS584928","ES492967"
"200","BS584929","ES492968"
"201","BS584930","ES492969"
"202","BS584931","ES492970"
"203","BS584932","ES492971"
"204","BS584933","ES492972"
"205","BS584934","ES492973"
"206","BS584935","ES492974"
"207","BS584936","ES492975"
"208","BS584937","ES492976"
"209","BS584938","ES492977"
"210","BS584939","ES492978"
"211","BS584940","ES492979"
"212","BS584941","ES492980"
"213","BS661774","ES717657"
"214","BS661775","ES717658"
"215","BS661776","ES717659"
"216","BS661777","ES717660"
"217","BS661778","ES717661"
"218","BS661779","ES717662"
"219","BS661780","ES717663"
"220","BS661781","ES717664"
"221","BS661782","ES717665"
"222","BS661783","ES717666"
"223","BS661784","ES717667"
"224","BS661785","ES717668"
"225","BS661786","ES717669"
"226","BS661787","ES717670"
"227","BS661788","ES717671"
"228","BS661789","ES717672"
"229","BS661790","ES717673"
"230","BS661791","ES717674"
"231","BS661792","ES717675"
"232","BS661793","ES717676"
"233","BS661794","ES717677"
"234","BS661795","ES717678"
"235","BS661796","ES717679"
"236","BS661797","ES717680"
"237","BS661798","ES717681"
"238","BS661799","ES717682"
"239","BS661800","ES717683"
"240","BS661801","ES717684"
"241","BS661802","ES717685"
"242","BS661803","ES717686"
"243","BS661804","ES717687"
"244","BS661805","ES717688"
"245","BS661806","ES717689"
"246","BS661807","ES717690"
"247","BS661808","ES717691"
"248","BS661809","ES717692"
"249","BS661810","ES717693"
"250","BS661811","ES717694"
"251","BS661812","ES717695"
"252","BS661813","ES717696"
"253","BS661814","ES717697"
"254","BS661815","ES717698"
"255","BS661816","ES717699"
"256","BS661817","ES717700"
"257","BS661818","ES717701"
"258","BS661819","ES717702"
"259","BS661820","ES717703"
"260","BS661821","ES717704"
"261","BS661822","ES717705"
"262","BS661823","ES717706"
"263","BS661824","ES717707"
"264","BS661825","ES717708"
"265","BS661826","ES717709"
"266","BS661827","ES717710"
"267","BS661828","ES717711"
"268","BS661829","ES717712"
"269","BS661830","ES717713"
"270","BS661831","ES717714"
"271","BS661832","ES717715"
"272","BS661833","ES717716"
"273","BS661834","ES717717"
"274","BS661835","ES717718"
"275","BS661836","ES717719"
"276","BS661837","ES717720"
"277","BS661838","ES717721"
"278","BS661839","ES717722"
"279","BS661840","ES717723"
"280","BS661841","ES717724"
"281","BS661842","ES717725"
"282","BS661843","ES717726"
"283","BS661844","ES717727"
"284","BS661845","ES717728"
"285","BS661846","ES717729"
"286","BS661847","ES717730"
"287","BS661848","ES717731"
"288","BS661849","ES717732"
"289","BS661850","ES717733"
"290","BS661851","ES717734"
"291","BS661852","ES717735"
"292","BS661853","ES717736"
"293","BS661854","ES717737"
"294","BS661855","ES717738"
"295","BS661856","ES717739"
"296","BS661857","ES717740"
"297","BS661858","ES717741"
"298","BS661859","ES717742"
"299","BS661860","ES717743"
"300","BS661861","ES717744"
"301","BS661862","ES717745"
"302","BS661893","ES717776"
"303","BS661894","ES717777"
"304","BS661895","ES717778"
"305","BS661896","ES717779"
"306","BS661897","ES717780"
"307","BS661898","ES717781"
"308","BS661899","ES717782"
"309","BS661900","ES717783"
"310","BS661901","ES717784"
"311","BS661902","ES717785"
"312","BS661903","ES717786"
"313","BS661904","ES717787"
"314","BS661905","ES717788"
"315","BS661906","ES717789"
"316","BS661907","ES717790"
"317","BS661908","ES717791"
"318","BS661909","ES717792"
"319","BS661910","ES717793"
"320","BS661911","ES717794"
"321","BS661912","ES717795"
"322","BS661913","ES717796"
"323","BS661914","ES717797"
"324","BS661915","ES717798"
"325","BS661916","ES717799"
"326","BS661917","ES717800"
"327","BS661918","ES717801"
"328","BS661919","ES717802"
"329","BS661920","ES717803"
"330","BS661921","ES717804"
"331","BS661922","ES717805"
"332","BS661923","ES717806"
"333","BS661924","ES717807"
"334","BS661925","ES717808"
"335","BS661926","ES717809"
"336","BS661927","ES717810"
"337","BS661928","ES717811"
"338","BS661929","ES717812"
"339","BS661930","ES717813"
"340","BS661931","ES717814"
"341","BS661932","ES717815"
"342","BS661933","ES717816"
"343","BS661934","ES717817"
"344","BS661935","ES717818"
"345","BS661936","ES717819"
"346","BS661937","ES717820"
"347","BS661938","ES717821"
"348","BS661939","ES717822"
"349","BS661940","ES717823"
"350","BS661941","ES717824"
"351","BS661942","ES717825"
"352","BS661943","ES717826"
"353","BS661944","ES717827"
"354","BS661945","ES717828"
"355","BS661946","ES717829"
"356","BS661947","ES717830"
"357","BS661948","ES717831"
"358","BS661949","ES717832"
"359","BS661950","ES717833"
"360","BS661951","ES717834"
"361","BS661952","ES717835"
"362","BS661953","ES717836"
"363","BS661954","ES717837"
"364","BS661955","ES717838"
"365","BS661956","ES717839"
"366","BS661957","ES717840"
"367","BS661958","ES717841"
"368","BS661959","ES717842"
"369","BS661960","ES717843"
"370","BS661961","ES717844"
"371","BS661962","ES717845"
"372","BS661963","ES717846"
"373","BS661964","ES717847"
"374","BS661965","ES717848"
"375","BS661966","ES717849"
"376","BS661967","ES717850"
"377","BS661968","ES717851"
"378","BS661969","ES717852"
"379","BS661970","ES717853"
"380","BS661971","ES717854"
"381","BS661972","ES717855"
"382","BS661973","ES717856"
"383","BS661974","ES717857"
"384","BS661975","ES717858"
"385","BS661976","ES717859"
"386","BS661977","ES717860"
"387","BS661978","ES717861"
"388","BS661979","ES717862"
"389","BS661980","ES717863"
"390","BS661981","ES717864"
"391","BS661982","ES717865"
"392","BS661983","ES717866"
"393","BS661984","ES717867"
"394","BS661985","ES717868"
"395","BS661986","ES717869"
"396","BS661987","ES717870"
"397","BS661988","ES717871"
"398","BS661989","ES717872"
"399","BS661990","ES717873"
