"","EXPSAMPLE_ACCESSION","REAGENT_ACCESSION"
"1","ES768711","ESR11386"
"2","ES768711","ESR11387"
"3","ES768711","ESR11388"
"4","ES768712","ESR11386"
"5","ES768712","ESR11387"
"6","ES768712","ESR11388"
"7","ES768713","ESR11386"
"8","ES768713","ESR11387"
"9","ES768713","ESR11388"
"10","ES768714","ESR11386"
"11","ES768714","ESR11387"
"12","ES768714","ESR11388"
"13","ES768715","ESR11386"
"14","ES768715","ESR11387"
"15","ES768715","ESR11388"
"16","ES768716","ESR11386"
"17","ES768716","ESR11387"
"18","ES768716","ESR11388"
"19","ES768717","ESR11386"
"20","ES768717","ESR11387"
"21","ES768717","ESR11388"
"22","ES768718","ESR11386"
"23","ES768718","ESR11387"
"24","ES768718","ESR11388"
"25","ES768719","ESR11386"
"26","ES768719","ESR11387"
"27","ES768719","ESR11388"
"28","ES768720","ESR11386"
"29","ES768720","ESR11387"
"30","ES768720","ESR11388"
"31","ES768721","ESR11386"
"32","ES768721","ESR11387"
"33","ES768721","ESR11388"
"34","ES768722","ESR11386"
"35","ES768722","ESR11387"
"36","ES768722","ESR11388"
"37","ES768723","ESR11386"
"38","ES768723","ESR11387"
"39","ES768723","ESR11388"
"40","ES768724","ESR11386"
"41","ES768724","ESR11387"
"42","ES768724","ESR11388"
"43","ES768725","ESR11386"
"44","ES768725","ESR11387"
"45","ES768725","ESR11388"
"46","ES768726","ESR11386"
"47","ES768726","ESR11387"
"48","ES768726","ESR11388"
"49","ES768727","ESR11386"
"50","ES768727","ESR11387"
"51","ES768727","ESR11388"
"52","ES768728","ESR11386"
"53","ES768728","ESR11387"
"54","ES768728","ESR11388"
"55","ES768729","ESR11386"
"56","ES768729","ESR11387"
"57","ES768729","ESR11388"
"58","ES768730","ESR11386"
"59","ES768730","ESR11387"
"60","ES768730","ESR11388"
"61","ES768731","ESR11386"
"62","ES768731","ESR11387"
"63","ES768731","ESR11388"
"64","ES768732","ESR11386"
"65","ES768732","ESR11387"
"66","ES768732","ESR11388"
"67","ES768733","ESR11386"
"68","ES768733","ESR11387"
"69","ES768733","ESR11388"
"70","ES768734","ESR11386"
"71","ES768734","ESR11387"
"72","ES768734","ESR11388"
"73","ES768735","ESR11386"
"74","ES768735","ESR11387"
"75","ES768735","ESR11388"
"76","ES768736","ESR11386"
"77","ES768736","ESR11387"
"78","ES768736","ESR11388"
"79","ES768737","ESR11386"
"80","ES768737","ESR11387"
"81","ES768737","ESR11388"
"82","ES768738","ESR11386"
"83","ES768738","ESR11387"
"84","ES768738","ESR11388"
"85","ES768739","ESR11386"
"86","ES768739","ESR11387"
"87","ES768739","ESR11388"
"88","ES768740","ESR11386"
"89","ES768740","ESR11387"
"90","ES768740","ESR11388"
"91","ES768741","ESR11386"
"92","ES768741","ESR11387"
"93","ES768741","ESR11388"
"94","ES768742","ESR11386"
"95","ES768742","ESR11387"
"96","ES768742","ESR11388"
"97","ES768743","ESR11386"
"98","ES768743","ESR11387"
"99","ES768743","ESR11388"
"100","ES768744","ESR11386"
"101","ES768744","ESR11387"
"102","ES768744","ESR11388"
"103","ES768745","ESR11386"
"104","ES768745","ESR11387"
"105","ES768745","ESR11388"
"106","ES768746","ESR11386"
"107","ES768746","ESR11387"
"108","ES768746","ESR11388"
"109","ES768747","ESR11386"
"110","ES768747","ESR11387"
"111","ES768747","ESR11388"
"112","ES768748","ESR11386"
"113","ES768748","ESR11387"
"114","ES768748","ESR11388"
"115","ES768749","ESR11386"
"116","ES768749","ESR11387"
"117","ES768749","ESR11388"
"118","ES768750","ESR11386"
"119","ES768750","ESR11387"
"120","ES768750","ESR11388"
"121","ES768751","ESR11386"
"122","ES768751","ESR11387"
"123","ES768751","ESR11388"
"124","ES768752","ESR11386"
"125","ES768752","ESR11387"
"126","ES768752","ESR11388"
"127","ES768753","ESR11386"
"128","ES768753","ESR11387"
"129","ES768753","ESR11388"
"130","ES768754","ESR11386"
"131","ES768754","ESR11387"
"132","ES768754","ESR11388"
"133","ES768755","ESR11386"
"134","ES768755","ESR11387"
"135","ES768755","ESR11388"
"136","ES768756","ESR11386"
"137","ES768756","ESR11387"
"138","ES768756","ESR11388"
"139","ES768757","ESR11386"
"140","ES768757","ESR11387"
"141","ES768757","ESR11388"
"142","ES768758","ESR11386"
"143","ES768758","ESR11387"
"144","ES768758","ESR11388"
"145","ES768759","ESR11386"
"146","ES768759","ESR11387"
"147","ES768759","ESR11388"
"148","ES768760","ESR11386"
"149","ES768760","ESR11387"
"150","ES768760","ESR11388"
"151","ES768761","ESR11386"
"152","ES768761","ESR11387"
"153","ES768761","ESR11388"
"154","ES768762","ESR11386"
"155","ES768762","ESR11387"
"156","ES768762","ESR11388"
"157","ES768763","ESR11386"
"158","ES768763","ESR11387"
"159","ES768763","ESR11388"
"160","ES768764","ESR11386"
"161","ES768764","ESR11387"
"162","ES768764","ESR11388"
"163","ES768765","ESR11386"
